Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
NTNX,Nutanix Inc,24.09,0.25,1.05%,24.63,24.85,22.9,4693000,03/02/2020
NTRS,Northern Trust Corp,88.49,0.73,0.83%,87.74,88.55,84.7,3152600,03/02/2020
NUAN,Nuance Communicatns,22.38,0.76,3.52%,21.74,22.41,21.25,3601800,03/02/2020
NUE,Nucor Corp,42.7,1.35,3.26%,41.66,42.72,40.42,4039900,03/02/2020
NUS,Nu Skin Enterprises,24.75,0.23,0.94%,24.69,24.8,24,2174200,03/02/2020
NVDA,Nvidia Corp,276.43,6.36,2.35%,276.9,277.59,261,22268600,03/02/2020
NVR,NVR Inc,3788.31,121.13,3.30%,3740,3788.31,3647.24,31100,03/02/2020
NVST,Envista Holdings Corp,25.63,0.25,0.99%,25.51,25.72,24.96,2295400,03/02/2020
NVT,Nvent Electric Plc,25.11,1.1,4.58%,24.24,25.17,23.63,1068500,03/02/2020
NWL,Newell Rubbermaid Inc,16.45,1.02,6.61%,15.51,16.48,15.37,7320400,03/02/2020
NWS,News Cp Cl B,12.66,0.22,1.77%,12.49,12.68,12.09,1875800,03/02/2020
NWSA,News Cp Cl A,12.43,0.35,2.90%,12.12,12.44,11.74,4424800,03/02/2020
NXST,Nexstar Broadcasting,115.38,0.4,0.35%,115.4,116.67,107.63,1152300,03/02/2020
NYCB,New York Community Bancorp,11.2,0.39,3.61%,10.8,11.24,10.63,7378800,03/02/2020
NYT,New York Times Company,37.27,-0.19,-0.51%,37.69,38.09,35.68,2397600,03/02/2020
O,Realty Income Corp,74.99,2.6,3.59%,72.99,75.06,71.66,4511800,03/02/2020
OC,Owens Corning Inc,58.42,1.93,3.42%,56.75,58.42,55.7,2022100,03/02/2020
ODFL,Old Dominion Freig,200.08,6.28,3.24%,192.92,201.03,189.43,945200,03/02/2020
OFC,Corporate Office Properties,26.58,1.24,4.89%,25.44,26.59,24.98,837100,03/02/2020
OGE,Oge Energy Corp,39.48,1.38,3.62%,38.23,39.61,37.75,3574400,03/02/2020
OHI,Omega Healthcare Investors,39.39,-0.21,-0.53%,40.03,40.28,38.57,4181400,03/02/2020
OI,Owens-Illinois,10.72,-0.08,-0.74%,10.9,10.91,10.34,2167600,03/02/2020
OKE,Oneok Inc,69.13,2.41,3.61%,67.65,69.52,66.82,5239000,03/02/2020
OKTA,Okta Inc Cl A,133.43,5.37,4.19%,130.05,133.64,126.68,1913300,03/02/2020
OLED,Universal Display,159.27,0.48,0.30%,161.06,161.94,153.05,719500,03/02/2020
OLLI,Ollies Bargain CS,52.27,1.4,2.75%,51.07,52.34,48.66,1773200,03/02/2020
OLN,Olin Corp,16.93,0.74,4.57%,16.55,16.93,15.6,4067300,03/02/2020
OMC,Omnicom Group Inc,70.36,1.08,1.56%,69.41,70.47,67.55,3538400,03/02/2020
OMF,Onemain Holdings Inc,38.57,1.82,4.95%,37.7,38.71,37,1185600,03/02/2020
ON,On Semiconductor,18.93,0.27,1.45%,18.79,18.93,18.07,8422100,03/02/2020
ORCL,Oracle Corp,50.9,1.44,2.91%,49.73,50.9,48.67,17328600,03/02/2020
ORI,Old Republic International Corp,21.13,1.41,7.15%,19.88,21.13,19.81,2571800,03/02/2020
